epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,538.586,0.55484,0.14315,0.09223,1.1985,0.95607,0.58881,0.74015,0.71703,0.65557,0.1209,0.19706,0.17296,0.15619,0.49674,0.0973,0.03232,0.85995,0.91895,0.000458304,0.000458304,0.000458304
28,558.495,0.55586,0.11751,0.10602,1.17066,0.94339,0.59558,0.77653,0.72967,0.66413,0.13691,0.20394,0.16847,0.14163,0.47839,0.09859,0.03553,0.87797,0.91115,0.0004557,0.0004557,0.0004557
29,578.412,0.51953,0.11481,0.11838,1.1378,0.9264,0.63841,0.75348,0.7092,0.63888,0.15581,0.2274,0.17792,0.15784,0.50107,0.09613,0.02399,0.89873,0.92897,0.000453096,0.000453096,0.000453096
30,598.326,0.47528,0.10592,0.08872,0.97308,0.9277,0.65401,0.79657,0.75023,0.65568,0.15054,0.18425,0.18293,0.16488,0.48549,0.08921,0.02453,0.79925,0.91413,0.000450493,0.000450493,0.000450493
31,618.172,0.50559,0.10028,0.0777,0.9386,0.9062,0.68753,0.76792,0.7525,0.68249,0.16267,0.20105,0.18913,0.16706,0.4896,0.07851,0.02293,0.73316,0.91526,0.000447889,0.000447889,0.000447889
32,638.013,0.48221,0.09264,0.08445,0.95421,0.91403,0.84903,0.66773,0.74726,0.66981,0.15339,0.23133,0.18938,0.17273,0.49505,0.07237,0.0227,0.7685,0.91266,0.000445285,0.000445285,0.000445285
33,657.732,0.49388,0.10083,0.09405,0.99858,0.92969,0.80568,0.68192,0.74492,0.67452,0.16149,0.16966,0.17828,0.16539,0.4854,0.07985,0.02285,0.87983,0.92602,0.000442682,0.000442682,0.000442682
34,678.274,0.45175,0.10469,0.0862,0.94765,0.88753,0.64434,0.7935,0.7623,0.68466,0.14769,0.21986,0.181,0.16194,0.4774,0.07502,0.02277,0.80591,0.91676,0.000440078,0.000440078,0.000440078
35,699.305,0.50252,0.11288,0.10267,0.93876,0.92854,0.75685,0.72859,0.7705,0.69498,0.18524,0.17328,0.18401,0.16679,0.47278,0.06829,0.01975,0.73095,0.92027,0.000437474,0.000437474,0.000437474
36,720.465,0.48771,0.10881,0.0956,0.89724,0.91572,0.75427,0.74038,0.77732,0.70372,0.16262,0.20625,0.18725,0.16977,0.46057,0.07758,0.02181,0.70285,0.90976,0.00043487,0.00043487,0.00043487
37,741.345,0.43351,0.08191,0.07132,0.82782,0.88665,0.73388,0.75455,0.78209,0.69851,0.16043,0.20332,0.19557,0.1778,0.47249,0.06241,0.01897,0.70218,0.91389,0.000432267,0.000432267,0.000432267
38,762.102,0.47474,0.08709,0.09642,0.89474,0.90719,0.73643,0.77148,0.78349,0.70383,0.16778,0.19996,0.19987,0.18512,0.46738,0.06413,0.02451,0.66604,0.92,0.000429663,0.000429663,0.000429663
39,783.137,0.44589,0.08905,0.08988,0.86326,0.89879,0.74733,0.75448,0.77233,0.70992,0.16064,0.20345,0.19231,0.18476,0.46576,0.0688,0.02332,0.72349,0.91434,0.000427059,0.000427059,0.000427059
40,804.142,0.44825,0.08042,0.07482,0.80541,0.88816,0.68402,0.7953,0.77197,0.70532,0.15981,0.22691,0.20372,0.19162,0.46848,0.05641,0.02095,0.69525,0.9142,0.000424456,0.000424456,0.000424456
41,824.992,0.49637,0.07739,0.08187,0.87279,0.92271,0.74034,0.73688,0.77423,0.69419,0.18542,0.19307,0.20901,0.1914,0.46221,0.06931,0.01487,0.69706,0.91033,0.000421852,0.000421852,0.000421852
42,845.819,0.44989,0.07955,0.0681,0.75268,0.88754,0.79226,0.76927,0.79355,0.72512,0.19899,0.20353,0.21728,0.20353,0.47343,0.05946,0.01581,0.63227,0.91281,0.000419248,0.000419248,0.000419248
43,866.55,0.44546,0.0789,0.08173,0.72671,0.9047,0.83567,0.7268,0.78988,0.72067,0.15996,0.23528,0.20877,0.19662,0.44613,0.0519,0.0136,0.62793,0.90885,0.000416645,0.000416645,0.000416645
44,887.432,0.44447,0.07697,0.06927,0.75084,0.90304,0.72952,0.78089,0.78977,0.72417,0.14931,0.22429,0.20613,0.19341,0.44672,0.05094,0.01841,0.60041,0.90386,0.000414041,0.000414041,0.000414041
45,908.602,0.41968,0.07039,0.08859,0.75797,0.89615,0.77679,0.76996,0.77597,0.69725,0.20525,0.18427,0.2029,0.18576,0.48319,0.05831,0.01847,0.65953,0.92577,0.000411437,0.000411437,0.000411437
46,929.571,0.47014,0.08452,0.07218,0.80423,0.89974,0.76236,0.79516,0.80259,0.71895,0.17132,0.18624,0.20665,0.19649,0.46639,0.05615,0.01443,0.61738,0.90534,0.000408834,0.000408834,0.000408834
