epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,631.106,0.71951,0.20488,0.26316,1.2358,0.94465,0.47431,0.86946,0.69718,0.58726,0.17726,0.45963,0.27075,0.2689,0.57991,0.07372,0.05045,1.1263,0.8751,0.000714019,0.000714019,0.000714019
28,653.481,0.74971,0.1608,0.22194,1.17708,0.97736,0.59957,0.78571,0.69101,0.61264,0.24357,0.39013,0.27262,0.27262,0.52826,0.05733,0.05313,1.05769,0.85744,0.00070652,0.00070652,0.00070652
29,676.599,0.73187,0.18626,0.23415,1.18037,0.95221,0.6876,0.625,0.71186,0.63036,0.19607,0.44643,0.28734,0.28689,0.57561,0.07587,0.05217,1.10158,0.86158,0.000699021,0.000699021,0.000699021
30,699.645,0.75054,0.17032,0.22168,1.18126,0.94878,0.60053,0.78571,0.69033,0.60318,0.21774,0.46847,0.2639,0.26059,0.55982,0.07354,0.05337,1.07272,0.86962,0.000691522,0.000691522,0.000691522
31,723.242,0.73947,0.24543,0.2586,1.20831,0.94666,0.66532,0.79353,0.7424,0.65016,0.26659,0.36657,0.31597,0.31597,0.50354,0.07372,0.06438,1.0219,0.85116,0.000684022,0.000684022,0.000684022
32,745.899,0.70704,0.18195,0.21794,1.16035,0.94186,0.60718,0.75,0.71622,0.60013,0.21641,0.48489,0.28979,0.26888,0.63039,0.09167,0.06597,1.00605,0.89683,0.000676523,0.000676523,0.000676523
33,769.118,0.80153,0.19462,0.22618,1.24085,0.96312,0.62857,0.86131,0.73105,0.64,0.26377,0.46442,0.30463,0.30463,0.51554,0.0605,0.05537,0.91745,0.85399,0.000669024,0.000669024,0.000669024
34,791.379,0.7047,0.15293,0.19204,1.11963,0.93821,0.64895,0.91334,0.72269,0.64461,0.25966,0.48477,0.29626,0.29519,0.49546,0.06356,0.03928,0.89931,0.84709,0.000661525,0.000661525,0.000661525
35,814.201,0.76469,0.18726,0.23064,1.11652,0.95504,0.61285,0.87208,0.68389,0.60394,0.22838,0.44643,0.25746,0.25746,0.53604,0.04806,0.03603,0.91164,0.8573,0.000654025,0.000654025,0.000654025
36,835.816,0.6595,0.14998,0.20309,1.00016,0.91165,0.65576,0.78643,0.76614,0.68037,0.27,0.49864,0.33971,0.33971,0.50372,0.05902,0.05405,0.92441,0.84248,0.000646526,0.000646526,0.000646526
37,858.866,0.71408,0.14995,0.21458,1.11131,0.92783,0.65733,0.79724,0.77898,0.64151,0.23521,0.5,0.35255,0.35255,0.70368,0.04774,0.04979,0.94004,0.89143,0.000639027,0.000639027,0.000639027
38,880.761,0.75981,0.14269,0.1988,1.12419,0.94883,0.61024,0.91071,0.7298,0.64802,0.23917,0.55836,0.30337,0.30337,0.46437,0.04433,0.04553,0.91649,0.84072,0.000631528,0.000631528,0.000631528
39,904.18,0.68499,0.14436,0.19407,1.03182,0.93152,0.62863,0.96429,0.73786,0.6298,0.2287,0.55796,0.31143,0.31143,0.59724,0.04687,0.03676,0.91901,0.86931,0.000624028,0.000624028,0.000624028
40,927.042,0.65343,0.13387,0.19695,1.08313,0.93559,0.6055,0.9344,0.72692,0.66158,0.23244,0.54996,0.30049,0.28554,0.43999,0.06031,0.03843,0.86394,0.83202,0.000616529,0.000616529,0.000616529
